credit_card_number,customer_name,total_spent,transaction_count,average_transaction_amount
************6770,Juan Sherman,164891.56,2558,64.46
**********5985,Lisa Lin,164394.46,3006,54.69
************9877,Mark Wood,164002.26,3107,52.78
************9800,Christine Harris,163214.11,3112,52.45
************9806,David Miller,163202.61,2519,64.79
*********2619,Breanna Rodriguez,162263.25,2572,63.09
*********2499,Daniel Briggs,161994.27,2554,63.43
***********3758,Daniel Escobar,159819.61,2548,62.72
*********1492,Robert Evans,159036.96,2591,61.38
************7579,Samuel Frey,158570.9,2561,61.92
************5522,Lauren Anderson,158245.1,3074,51.48
************1264,Paula Estrada,157789.09,2553,61.81
************9890,James Cooper,157566.0,2523,62.45
*********2969,Joseph Gonzalez,156983.7,2576,60.94
************8484,Margaret Gibson,156237.03,2578,60.6
***********1680,Jackie Davis,155522.84,2530,61.47
************9721,Peter Caldwell,155379.37,1566,99.22
************3054,Scott Martin,155348.79,2564,60.59
************9333,Kelly Zimmerman,153552.58,2050,74.9
*********9996,Michael Johnson,152881.76,2568,59.53
**********3303,James Baldwin,152727.3,2551,59.87
************9779,Scott Fuller,152213.74,2555,59.57
*********1966,Jason Murphy,151777.39,1513,100.32
**********5641,Andrew Tucker,151347.42,1548,97.77
************7524,David Serrano,151299.07,1557,97.17
***********3496,Xavier Beltran,151215.59,1516,99.75
************5588,Dustin Roberts,151125.8,2525,59.85
************6548,Keith Sanders,150914.97,3113,48.48
************4051,Margaret Lam,149866.54,2540,59.0
***********9979,Mackenzie Salazar,149752.48,2585,57.93
************0197,Samuel Johnston,149622.25,2566,58.31
************5876,Jennifer Bishop,149246.41,1588,93.98
************2014,John Miller,148374.33,1535,96.66
**********7947,Matthew Lambert,148181.73,2570,57.66
************5002,Christian Roman,148142.75,1542,96.07
***********6102,Stacy Lambert,147286.44,2534,58.12
***********3023,Bryan Pugh,147164.47,1542,95.44
***********3780,Shawn King,147127.38,1551,94.86
************8425,Steven Yoder,147045.97,1555,94.56
************1727,Thomas Cross,146957.65,1505,97.65
************2074,David Rodriguez,146741.58,2559,57.34
***********2349,Tyler Wright,146354.54,2554,57.3
************7492,Lance Wagner,146262.88,1548,94.49
************6764,Michael Lee,146123.59,1550,94.27
**********9182,Hayden Sanders,145890.03,1554,93.88
************1574,Wayne Marsh,145758.51,1510,96.53
***********0556,Maria Garcia,144848.6,1517,95.48
************1397,Christopher Rodgers,144130.18,1525,94.51
************2500,Kathy Hughes,143866.0,1979,72.7
************4630,Scott Martin,143214.01,2054,69.72
**********5770,Michael Gross,143028.29,1959,73.01
************9801,Claire Davis,142540.64,1565,91.08
************5478,William Perry,142452.97,2540,56.08
************9043,Linda Davis,142451.15,2555,55.75
**********4871,Linda Sanchez,142197.15,1551,91.68
************7176,Gary Martinez,142060.63,3011,47.18
************1291,James Lynch,142051.23,1535,92.54
************5209,Terri Bailey,140163.86,1530,91.61
************4848,Matthew Myers,140027.33,1528,91.64
***********5802,Jill Jacobs,139917.05,1514,92.42
************6294,Donna Davis,139625.31,2038,68.51
************2105,Valerie Davis,139539.66,2547,54.79
************2508,Thomas Hale,139530.54,1544,90.37
************5790,Victoria Fleming,138809.79,2573,53.95
***********9700,Karen Ryan,138291.22,1525,90.68
*********9669,Vincent Waller,138003.86,2069,66.7
************9125,Lauren Williams,137744.41,1572,87.62
**********8675,Amanda Williams,137561.26,1559,88.24
************0470,Teresa Stein,137090.74,2503,54.77
***********1125,Rebecca Obrien,136179.22,1555,87.58
************1156,Jill Flores,135962.28,1538,88.4
************2895,Lauren Butler,135569.7,1549,87.52
************4695,Christopher Castaneda,135038.51,2070,65.24
**********8785,Danielle Evans,134883.93,2048,65.86
************2401,Margaret Ray,134821.33,1549,87.04
************2452,Bill Lane,134637.93,2064,65.23
************9330,Ashley Cabrera,134581.52,1553,86.66
************1808,Jacqueline Marsh,134152.86,2064,65.0
*********6504,William Thompson,133746.9,2052,65.18
************8480,Edward Tapia,133741.76,2074,64.48
************9201,Terrance Mckinney,133412.37,2046,65.21
************1656,Jose Vasquez,133290.41,2556,52.15
************7976,Denise Barnett,133147.97,2000,66.57
************5236,Tami Forbes,133069.28,2090,63.67
************9618,Alicia Morales,132577.1,2037,65.08
************7457,Christine Best,132522.65,2032,65.22
************4608,Stephen Marshall,132190.09,2035,64.96
*********3023,Martin Ford,132139.85,2069,63.87
***********5096,Mary Juarez,132074.09,2063,64.02
*********8558,Elizabeth Payne,132072.19,2088,63.25
************5774,Kayla Obrien,132048.92,2019,65.4
***********1404,Amanda Fitzgerald,131671.12,1512,87.08
************5395,Phillip Robertson,131315.6,2106,62.35
************4479,Barbara Norman,131245.12,1537,85.39
************7804,Melissa Meza,130820.25,1556,84.07
************0610,James Reese,130736.27,2083,62.76
************0264,Tara Richards,130711.5,2062,63.39
************7098,Joshua Carpenter,130675.94,2056,63.56
************7910,Lisa Mendez,130640.59,2087,62.6
************0142,Dorothy Thomas,130379.62,2525,51.64
***********7806,Megan Murphy,129854.37,2080,62.43
************3047,Nathan Massey,129638.95,2034,63.74
************1506,Olivia Stephenson,129606.83,1528,84.82
***********9178,Michelle Woods,129486.42,1521,85.13
************9375,Brooke Smith,128767.34,2049,62.84
***********7617,Nathan Martinez,128367.81999999999,2060,62.31
************3625,Shannon Williams,128123.15,2562,50.01
*********3017,Samuel Farrell,127738.45,2016,63.36
************1292,Joanne Williams,127636.62,2089,61.1
************9740,Tanya Williams,127371.96,2068,61.59
**********6071,Laura Johns,127139.52,2044,62.2
************4169,Dawn Gray,127102.97,2527,50.3
*********9158,Eric Preston,126847.04,2038,62.24
**********8506,Jacqueline Curry,126846.89,2048,61.94
*********9584,Melody Thompson,126776.07,2037,62.24
************1952,William Skinner,126554.37,2087,60.64
************8648,Mackenzie Smith,126459.16,2047,61.78
***********3447,Theresa Blackwell,126453.25,2024,62.48
************6792,Jennifer Spencer,126333.89,1528,82.68
************9288,Taylor Khan,126031.57,2037,61.87
***********3058,Linda Hurst,125721.42,2041,61.6
************6329,John Stevens,125374.08,2521,49.73
************1241,Margaret Williams,125164.73,2016,62.09
*********0592,Misty Rivera,125069.65,2075,60.27
**********0993,Rebecca Butler,124566.73,2059,60.5
************0251,Michael Francis,124324.86,2043,60.85
************6555,Laura Walker,124194.62,2075,59.85
************7323,Felicia Mckee,124130.38,2041,60.82
**********2326,Anna Logan,124081.92,2588,47.95
**********5458,Jared Velazquez,123996.64,2054,60.37
************0341,Laura Casey,123890.17,2080,59.56
*********8703,Melissa Krause,123886.06,2038,60.79
***********8179,Joshua Mendoza,123872.39,2053,60.34
************0601,Tina Lawrence,123280.53,2050,60.14
**********4310,Amanda Smith,123209.1,2058,59.87
************3100,Megan Bernard,123069.42,2101,58.58
************3908,Patrick Vaughan,122678.24,2037,60.22
************0089,Vincent Flowers,122670.89,2039,60.16
************4120,Barbara Nelson,122144.42,1522,80.25
************9051,Kimberly Miller,122017.83,2043,59.72
************7802,Monique Robinson,121787.87,1543,78.93
************8021,Robert Haynes,121544.14,2587,46.98
************5262,Carlos Chung,121114.19,2050,59.08
************9719,Nicholas Mcmahon,121059.43,2073,58.4
************9997,Monica Tucker,120945.28,2564,47.17
**********8059,Teresa Clark,120744.19,2066,58.44
*********0163,Eddie Mendez,120462.62,2021,59.61
*********1389,Joseph Nixon,120455.39,2015,59.78
***********5905,Kayla Sutton,120327.36,2036,59.1
************3698,Melissa Mcclure,119840.66,2003,59.83
************0465,Robert Ashley,119780.02,2013,59.5
************3568,Jamie Carr,119384.81,2069,57.7
***********8315,Alan Colon,119177.55,2002,59.53
***********1150,Charles Robles,118935.62,2029,58.62
***********8100,Billy Gallagher,118863.79,2024,58.73
**********1167,Christopher Horn,118791.07,2015,58.95
**********6970,Curtis Young,118440.17,2080,56.94
***********9816,Roberta Mccarthy,118120.78,2025,58.33
************7745,Kenneth Edwards,118007.7,2046,57.68
************2469,Frank Anderson,117991.67,2063,57.19
*********4557,Christie Williamson,117961.01,2028,58.17
***********1808,Justin Fowler,117004.11,2087,56.06
***********3375,Christopher Patterson,116997.45,1512,77.38
************4816,Jacob Weber,116082.04,2035,57.04
************4549,Amber Perez,116015.27,2018,57.49
************2877,Timothy Gomez,115840.27,2034,56.95
************1778,Michelle Russell,115461.3,1523,75.81
************8601,David Everett,115412.23,2070,55.75
************4407,Carl Hernandez,115361.47,1551,74.38
************5248,Jack Hill,115147.81,1564,73.62
************1624,Justin Bell,114164.82,2058,55.47
************1239,Jared Walters,113633.02,2014,56.42
************3618,Emily Hall,113476.27,2090,54.29
**********3927,Candice Brown,113131.52,2052,55.13
************2580,Beth Lambert,112757.89,2026,55.66
************1552,Joseph Morgan,112274.65,1538,73.0
*********4880,Patrick Torres,111345.77,1557,71.51
*********2112,Steven Walters,111276.82,2109,52.76
************0244,Adam Stark,110733.85,2060,53.75
************4616,Francisco Kemp,110573.07,2013,54.93
*********0666,Judith Moss,110189.95,1549,71.14
************9354,Charles Carrillo,110189.51,1538,71.64
************7244,Jeff Elliott,109741.88,1561,70.3
************3870,Renee Parrish,109728.53,2030,54.05
************6329,Justin Gay,109473.41,1563,70.04
************6408,Grace Williams,109341.19,2056,53.18
************8421,Ronald White,109295.91,1026,106.53
************6731,Angela West,109289.95,1540,70.97
**********8158,Kenneth Doyle,108938.77,1524,71.48
*********9857,Jerry Kelly,108255.85,1569,69.0
***********1411,Christopher Sheppard,108082.54,1054,102.55
*********0325,Whitney Gallagher,108067.99,1466,73.72
************9468,Morgan Murray,108026.64,1513,71.4
***********0758,Richard Vance,107956.91,1537,70.24
************5882,Shannon Patterson,107954.02,1577,68.46
************3596,Jamie Robinson,107945.85,1578,68.41
***********1747,Shannon Bell,107501.79,2048,52.49
**********2891,Kathleen Thompson,107295.59,1550,69.22
**********0970,Jacob Dawson,107119.88,1523,70.33
************0390,Robert Long,107054.96,1054,101.57
************4598,Joseph Moody,107024.75,1518,70.5
************2867,Adam Mcdonald,106948.32,1022,104.65
*********4674,Casey Howell,106809.54,1581,67.56
************8237,Steven Sanders,106249.57,1543,68.86
************0186,Maria Roy,106041.46,2023,52.42
***********2195,Mary Mcintyre,106027.95,1558,68.05
***********5610,Jason Mcmahon,105795.17,1535,68.92
************4898,Daniel Cain,105606.76,1541,68.53
************8952,Teresa Blankenship,105603.11,1525,69.25
************2355,Robert Goodman,105568.67,1040,101.51
************5667,Larry Williams,105524.95,1527,69.11
************3463,Jonathan Castro,105418.35,1553,67.88
***********7096,Krystal Gamble,105370.03,1544,68.24
************5968,Mary Lewis,105218.38,1560,67.45
************6629,Christopher Choi,105047.05,1033,101.69
************5827,Ronald Carson,104803.97,1517,69.09
************5296,Lisa Clark,104608.91,1001,104.5
************9543,Steven Faulkner,104524.46,1496,69.87
**********2091,Kevin Summers,104274.43,1043,99.98
***********5567,James Yoder,104248.19,1023,101.9
************1561,Kathleen Martin,104238.63,1543,67.56
************3197,Christian Johns,104208.09,2028,51.38
***********4333,Joseph Wagner,103644.68,1554,66.7
*********7625,Charles Rodriguez,103573.23,1036,99.97
***********4065,Christopher Gilbert,103435.58,1534,67.43
***********4893,Sally Moore,103382.59,1529,67.61
************7171,Bryce Joseph,103350.44,1531,67.51
************3211,Michael Orozco,103339.96,1019,101.41
************1618,Jeffrey Rice,102336.76,1563,65.47
**********8470,Gina Morrison,102164.67,2107,48.49
**********7526,Robin Smith,101960.86,1560,65.36
************0073,Lori Bishop,101959.27,2052,49.69
***********4032,Jodi Foster,101850.14,1511,67.41
************5217,Amber Thornton,101834.08,1512,67.35
************7746,Matthew Young,101709.45,1555,65.41
************1789,Judy Hogan,101672.31,2033,50.01
************0408,Jacqueline Howard,101588.79,1597,63.61
************9560,Joshua Cohen,101443.56999999999,1014,100.04
************6254,Audrey Gonzalez,101271.79,1547,65.46
************8457,Benjamin Rogers,101158.51,1023,98.88
************0693,Charles Preston,100979.25,1558,64.81
**********0870,Helen Campbell,100931.97,1543,65.41
************8303,Matthew Huerta,100714.34,1020,98.74
***********1603,Joanne Padilla,100709.91,1526,66.0
***********1095,Brent Terrell,100683.42,1527,65.94
************5071,Kristina Lewis,100510.8,1527,65.82
**********0895,Cesar Smith,100502.7,1535,65.47
************5659,Wayne Payne,100466.21,1549,64.86
***********6537,Mark Brown,100373.9,1568,64.01
***********9724,Alyssa Morgan,100244.36,1540,65.09
**********2700,John Clarke,100073.92,1522,65.75
************8517,Christine Burns,100024.71,1539,64.99
************5347,Jennifer Gonzalez,99945.62,1527,65.45
************7107,Stanley Dickson,99940.77,1050,95.18
**********1692,Savannah Lewis,99938.43,1058,94.46
***********2010,Ryan Johnson,98893.77,1052,94.01
************8979,Jacob Patel,98738.37,1559,63.33
***********5094,Cody Miller,98652.62,1517,65.03
************6717,Daniel Owens,98531.7,1543,63.86
************7121,Matthew Russell,98406.27,1527,64.44
***********2726,Vincent Richards,98183.65,1049,93.6
************7873,Jerry Robinson,98145.21,1546,63.48
************1674,Melissa Aguilar,98095.73,1042,94.14
***********7660,Christopher Luna,98078.93,1530,64.1
************8467,Jacqueline Washington,98023.1,1045,93.8
************4082,Kyle Park,97951.02,1534,63.85
***********5705,Mark Tyler,97906.83,1026,95.43
***********0432,James Bishop,97748.5,1528,63.97
************8735,Tracy Conway,97715.64,1529,63.91
*********0116,Marcia Molina,97643.75,1535,63.61
***********8828,Ruth Fuller,97053.98,1532,63.35
***********2810,Dale Smith,96650.7,1525,63.38
*********9001,Jessica Garcia,96649.63,1560,61.95
************4183,Kevin Elliott,96364.3,1539,62.61
***********6448,Diane Jackson,96359.17,1548,62.25
***********9774,Catherine Weber,96060.64,1471,65.3
***********4925,Rick Martinez,96007.41,1569,61.19
**********6474,Tamara Martinez,95981.09,1519,63.19
***********7681,Zachary Allen,95744.47,1523,62.87
**********4123,Erik Patterson,95594.78,1513,63.18
***********5055,David Kirby,95228.85,1512,62.98
*********8794,Joseph Spencer,95104.77,1525,62.36
************9027,Gina Gomez,95004.54,1548,61.37
***********2492,Jeffrey Munoz,94869.21,1540,61.6
************6900,Christina Eaton,94741.49,1539,61.56
************5438,Robert Nguyen,94724.45,1545,61.31
***********3047,Patricia Gonzalez,94584.21,1538,61.5
************9020,Leslie Ford,94533.46,1537,61.51
***********1702,Adam Kirk,94313.47,1556,60.61
************0986,Angela White,93858.7,1009,93.02
***********0125,Randall Burgess,93405.46,1519,61.49
***********3756,David Lewis,93164.68,1535,60.69
***********5933,Monica Lane,93147.76,1558,59.79
***********3960,Lawrence Davis,92886.14,1514,61.35
************5298,James Greene,92856.2,1552,59.83
**********8388,Raymond Lloyd,92780.5,1529,60.68
************3051,Drew Garcia,92772.01,1547,59.97
*********4641,Karen Gordon,92072.04,1535,59.98
************5111,Krystal Key,91934.36,1514,60.72
**********9415,Erik Stevens,91816.09,1060,86.62
************0993,Rachel Villarreal,91702.69,1542,59.47
*********2529,Jamie Olson,91524.03,1519,60.25
***********8176,Steven Arnold,91514.55,1503,60.89
************8134,Regina Johnston,91377.44,1033,88.46
**********0617,Michael Olson,91263.85,1567,58.24
***********2311,Christopher Miller,91220.28,1504,60.65
************9927,Jim Johnson,91041.98,1522,59.82
************9626,Travis Hayes,90395.97,1525,59.28
************4760,Cheryl Melton,90214.94,1554,58.05
************3188,Christine Leblanc,90164.46,1025,87.97
************0989,Melinda Gutierrez,90077.56999999999,1519,59.3
************3523,Alice Kemp,90024.42,1056,85.25
************8846,Jennifer Vance,89697.62,1491,60.16
************5903,Christina Rose,89649.41,1021,87.81
************0516,Gail Weaver,89198.7,1558,57.25
************6333,Susan Shah,89170.54,1517,58.78
************4049,Tyler Mills,88521.18,1557,56.85
************9972,Cassandra Nunez,88514.24,1542,57.4
************8423,Brian Williams,88351.49,1526,57.9
************6457,Patricia Leach,87850.89,997,88.12
**********2433,Stephanie Middleton,87155.63,1035,84.21
************1412,Christopher Ortega,86401.14,1527,56.58
**********0989,Lisa Collins,86154.81,1514,56.91
**********9027,Samuel Sandoval,85660.79,1523,56.24
************8652,Ashley Whitehead,85420.46,1509,56.61
************6815,Pamela Curtis,85069.66,1520,55.97
************0109,Susan Hernandez,84626.83,1538,55.02
**********3035,Jessica Terry,84424.76,1052,80.25
************0261,John Myers,83358.48,1526,54.63
************8276,Brenda Perez,83122.77,1519,54.72
************2641,Dylan Garcia,82578.61,1007,82.0
************2597,Gary Barnes,82347.89,1551,53.09
************3890,Jeffery Brown,82117.88,1021,80.43
**********7029,Marissa Clark,82076.18,1510,54.36
**********8698,Lori Rodriguez,81897.43,1500,54.6
**********4236,Sarah Foster,81863.49,1507,54.32
************5012,Randy Murphy,81234.47,1547,52.51
************5512,Adriana Harvey,80998.59,1027,78.87
************4809,Karen Warren,80830.38,1531,52.8
************2249,Antonio Koch,80568.92,1497,53.82
************2337,Micheal Walters,79783.69,989,80.67
***********7132,Tina Zimmerman,79674.02,1535,51.9
**********0508,John Chandler,78105.89,1021,76.5
************9851,John Hudson,76606.0,1030,74.37
***********3232,Kimberly Myers,76452.88,1033,74.01
************1141,Michael Jones,75736.86,1047,72.34
************8741,Amanda Vance,75713.26,1018,74.37
************9416,Sheila Baker,74960.89,1039,72.15
*********2918,Maureen Garza,74507.14,1030,72.34
************8583,Jacqueline Prince,74212.91,1027,72.26
***********9255,Brianna Page,73771.98,1019,72.4
***********0021,Thomas Sullivan,73737.51,1571,46.94
************7219,Joshua Bryant,73643.43000000001,1026,71.78
***********7142,Michael Rowe,73609.54,1025,71.81
************1180,Renee Walls,73400.12,1010,72.67
************5545,Stephanie Hopkins,73360.58,985,74.48
************3230,Jennifer Scott,73024.94,1016,71.87
*********0136,Dwayne Martinez,72836.85,1004,72.55
************1418,Jasmine Foster,72749.28,1029,70.7
*********3689,Alicia Hawkins,72668.28,1008,72.09
************6400,Cheryl Morgan,72664.38,993,73.18
***********9629,Christopher Carr,72628.13,1029,70.58
************1278,Gary Hall,72586.18,1023,70.95
************3463,Martin Duarte,72526.18,999,72.6
*********4815,John Robertson,72478.21,1041,69.62
***********5052,Rebecca Conley,72392.82,1544,46.89
************0390,Meredith Campbell,72201.37,1001,72.13
*********3396,Kristin Williams,72180.26,1002,72.04
************5864,Steven Williams,71655.11,1044,68.64
************2077,Melvin Wright,71643.54,994,72.08
**********1454,Nicholas Thornton,71158.15,1047,67.96
*********4423,Julie Johnson,70914.95,1026,69.12
************1604,Robert Holland,70910.23,1033,68.64
************5080,John Mccormick,70895.6,1043,67.97
*********2127,Christopher Johnson,70766.39,1069,66.2
************6739,Audrey Hickman,70590.74,1039,67.94
***********8068,Frank Key,70389.31,1041,67.62
**********0167,Nicholas Tran,69899.01,1000,69.9
***********2564,Sophia Dickson,69801.54,1044,66.86
***********0269,Michelle Anderson,69761.26,1045,66.76
***********9344,Melanie Jimenez,69663.75,1029,67.7
************7706,Danielle Hayden,69602.28,1013,68.71
*********0889,Mark Rivera,69600.68,1005,69.25
************3057,Christopher Grimes,69557.95,1038,67.01
************7244,Kaitlyn Newman,69346.22,1039,66.74
***********0336,William Hunter,69336.1,1015,68.31
*********5498,Alan Parsons,69216.93,1045,66.24
************1201,Heather Chase,69209.21,1009,68.59
*********0175,Jacqueline Allen,69151.67,1019,67.86
************1360,Heather Roberts,69117.34,1031,67.04
************0592,Christopher Holt,68894.66,1052,65.49
************7928,Spencer Williams,68864.07,1022,67.38
***********0457,Jared Camacho,68863.68,1014,67.91
***********0716,Jeremy Jones,68795.25,1028,66.92
***********3848,Kevin Walters,68763.18,1036,66.37
***********7663,Gloria Wallace,68540.26,1025,66.87
************0458,Christopher Farrell,68523.16,1008,67.98
***********0103,John Davis,68339.49,1002,68.2
************9997,Alan Howard,68095.41,1026,66.37
***********2290,Erika Mason,68061.34,1024,66.47
************0984,Heather Hines,67901.35,1051,64.61
************8689,Lisa Lopez,67864.68,1022,66.4
***********5623,Christopher Gomez,67748.76,1009,67.14
*********7204,Dakota Maldonado,67651.48,1050,64.43
************1276,Daniel Jones,67435.53,1028,65.6
************1375,Diane Smith,67399.06,1055,63.89
***********0634,Jeremy Moore,67378.83,1028,65.54
************6271,Bianca Novak,67254.11,1027,65.49
************9909,Patricia Rodriguez,66986.42,1002,66.85
************2797,Amanda Jones,66859.39,1040,64.29
************5736,Harry Mckee,66847.29,1027,65.09
**********5123,Cynthia Davis,66808.57,1043,64.05
************8966,Linda Gonzalez,66615.58,1027,64.86
************6143,Nathan Thomas,66555.1,1042,63.87
************8236,Philip Hart,66377.33,1012,65.59
************4365,Alicia Mitchell,66347.32,1028,64.54
************1152,William Johnson,66286.01,1008,65.76
************6057,Mary Williams,66229.55,972,68.14
************9917,Benjamin Harris,66167.3,1016,65.13
************7350,Lauren Moreno,66081.09,1047,63.11
*********0168,Michelle Rodriguez,66059.67,1538,42.95
*********8382,Robert Sanchez,65550.62,1009,64.97
***********2893,Erica Walker,65509.08,1046,62.63
************1302,Bryan Torres,65449.04,1034,63.3
************3522,William Cannon,65383.83,1021,64.04
***********8093,Nathan Mayer,65327.34,1012,64.55
***********9474,Benjamin Martin,65178.73,1010,64.53
************9004,Jordan May,65084.62,1034,62.94
************4291,Richard Brown,65050.94,1021,63.71
**********4493,Michael Rodriguez,64885.16,1025,63.3
************3147,Andrea Lewis,64567.24,1040,62.08
***********8995,Shelby Cannon,64559.55,1045,61.78
************2157,Monica West,64549.63,1046,61.71
************2537,Rebecca Farley,64482.58,1039,62.06
***********8891,Brian Perez,64385.27,1031,62.45
************9497,Sarah Adams,64291.24,1054,61.0
************7295,Derek Bentley,64238.11,1038,61.89
***********5079,Connie Carroll,64062.22,1039,61.66
***********4200,Daniel Martinez,63569.79,1045,60.83
**********9660,Dalton Jones,63523.23,1028,61.79
***********6591,Jeremy Perry,63491.1,1024,62.0
*********2473,James Leon,63456.94,1049,60.49
*********5974,Benjamin Robinson,63451.69,1023,62.03
************9603,Derrick Flores,63416.409999999996,1049,60.45
**********4976,Christine Johnson,63105.0,1023,61.69
***********8358,Willie Jordan,63010.83,1038,60.7
***********8499,Mario Johns,63007.03,1046,60.24
***********6425,Debra Eaton,62961.83,1035,60.83
************6005,Michael Fisher,62763.73,1039,60.41
************8393,Johnny Bennett,62659.8,1047,59.85
***********1269,Ryan Cook,62451.65,1015,61.53
************8832,Richard Carter,62358.19,1020,61.14
************8679,Kendra King,61957.73,1031,60.09
************6484,Jessica Smith,61689.8,1058,58.31
************0710,Brittany Guerra,61387.8,1047,58.63
**********9917,Robert James,61010.45,1014,60.17
************5901,Timothy Kirby,60866.51,1041,58.47
************8324,Stephanie Murphy,60812.64,1024,59.39
*********1637,Lisa Hendrix,60683.46,1006,60.32
************2306,Stacy Walsh,60659.69,1026,59.12
************9293,Brenda Johnson,59993.09,1003,59.81
***********8083,Larry Warner,59204.85,1029,57.54
************5663,Justin Bell,59201.94,1014,58.38
************6394,Joel Rivera,58879.42,990,59.47
***********9909,Hannah Thomas,58459.33,1023,57.14
************3820,Pamela Matthews,58259.94,1024,56.89
************5374,Brooke Rodriguez,58222.95,1014,57.42
**********2433,Stephanie Crane,58114.9,1029,56.48
************3474,Chris Daniel,56960.19,505,112.79
***********6333,Billy Mcdonald,56944.93,1005,56.66
************9660,Cheryl Ballard,56911.06,1031,55.2
************6875,Pamela Lewis,56561.51,1046,54.07
